Seguidores,Seguidos
439,456
439,456
439,456
1487,188
3530,1665
339,253
74,74
1258,1572
28799,18646
269,549
9,32
11493,3044
69,163
58,222
1113,2075
13837,11712
48979,3962
332962,862
11,55
197,513
1312,175
1312,175
3891,3320
233,303
11,76
2893,405
1186,2047
104,222
360,233
12488,2205
2088,734
452,1251
4023,507
148,337
17735,108
1305,149
28799,18646
545,868
1971,313
55,116
155,495
18,84
4462,5000
2051,3942
1351,1295
55,61
4145,2081
29733,8324
11725,5478
3404,1540
380,212
32,219
98,312
2620,779
46,51
8938,2768
1727,802
40,64
2068,1937
2068,1937
493,2235
10185,1967
16698,14966
17,157
41147,1341
28798,18645
108986,1156
112,386
204,324
1796,396
84,211
4443,486
82,183
419,372
14110,3266
112,405
341,437
28798,18645
1666,1346
673,1609
505,246
28798,18645
29,36
137,132
860,414
1305,149
137,132
130,130
72,524
410,1164
83,334
1172,1569
200224,1563
439,456
2281,1347
574,638
14,7
273,223
108,279
11904,5911
496,2494
3330,4102
10649,1221
934,1049
1607,619
454,421
81,142
474,523
3095,2579
4468,248
1088,1294
1088,1294
40,91
75,214
36328,729
4899,399
935,1013
609,403
389911,8161
1942,2164
850,728
159,501
144,210
75,83
3126,1007
3126,1007
1528,842
11383,501
12199,668
144,210
101,160
122,214
1,1
433,288
20,144
5,12
205,254
5182,5097
861,1006
3095,2579
1304,149
6273,3408
219,348
860,414
1188,1068
5,12
28796,18643
1440,2541
3109,367
5310,1316
28796,18643
198,211
3359,1670
2155,1457
2155,1457
38,22
15692,2841
259,191
1125,662
248,743
8204,1482
249,1591
4529,2485
93,416
78783,4213
166,506
943,984
5803,1014
1160,84
14,32
26090,2378
28793,18643
3248,1105
569,1429
1466,1147
28793,18643
402,1432
4470,2048
307,1112
284,557
863,1143
208,302
208,302
28794,18643
348,323
27,26
1483,2803
1483,2803
451,1250
188,52
402,1432
71915,61
387,1040
107,139
33314,1481
1581,2144
33314,1481
775,1390
1113,2075
896,531
89,214
5323,1202
16983,3446
1570,767
2171,1436
2171,1436
2171,1436
12693,792
267,820
107,139
2007,986
28794,18643
89,214
89,188
12693,792
451,1250
1086,351
1971,313
28794,18643
17249,1901
107,139
1309,630
835,1659
47,124
813,1379
468,884
537,302
147,277
2007,986
682,543
2503,366
2154,625
28794,18643
1581,2144
6,4
303,324
1924,3033
3356,1670
1246,1435
3356,1670
292,324
747,489
321,309
163,2660
163,2660
10086,6689
162,2648
3403,4746
865,1698
5329,4871
318,293
4902,1711
170,198
107,337
1294,1558
198,295
1118,60
3576,1135
132,676
468,882
282,106
107,337
277,1047
36,120
1899,1277
240,166
240,166
151,198
35,196
1070,2340
68343,21934
125,84
15191,345
755,119
755,119
253,470
716,1317
361,551
543,867
845,997
883,723
16078,598
159,116
856,1404
866,1392
696,1130
5182,5096
134,57
114,86
155,186
258,601
28796,18643
2400,1465
35,214
35,214
848,728
33055,1308
5732,698
707,780
302,148
3682,752
117,34
794,2140
501,1031
44976,496
608,1984
1253,1159
273,261
613,697
251,355
4866,3806
1253,1159
1253,1159
15,79
51,72
409,616
1024,584
409,616
23,180
63,160
1272,1156
25,189
134,352
696,1521
3300,2377
45,207
863,1771
153,43
148,607
55,61
380,212
28795,18643
1367,3527
1946,592
162,420
42,223
606,5002
29738,8323
646,1383
565,182
8,50
52,159
7879,5557
880,2751
880,2751
1575,1415
476,195
220,569
220,569
285,493
11,72
1955,2655
606,525
644,540
626,713
120,136
120,136
4530,1435
70,185
434,347
2521,960
3625,790
323,1000
54,85
13413,6643
6,173
142,813
8,71
143,543
143,543
2462,1274
3681,1571
2852,1840
954,691
1065,2534
981,1175
954,691
954,691
642,824
302,496
76,178
1734,971
44,433
290,501
108,140
10,91
38,85
38,85
2162,564
652,699
28793,18644
3398,586
10,40
437,599
513,663
18,33
374,507
123,346
384,358
1828,1313
2004,1167
729,589
52,62
11868,5736
1440,2630
11,150
10240,130
10240,130
131,137
2013,426
2818,473
773,1591
2531,1809
289,1964
2531,1809
2531,1809
364,883
516,330
1186,1063
645,282
176,261
1800,1639
263,638
183,208
916,465
254,178
81,67
3590,764
266,924
30,168
95,128
314,21
314,21
3698,2209
4805,1207
301,144
1947,461
1093,333
21,40
21,40
1081,1151
35,173
1375,995
755,1916
20919,7475
219,1276
848,728
9049,1046
1040,504
215,500
210,319
3525,1745
2267,1330
763,681
11510,1162
2,16
14,49
195353,1346
156,1101
12,41
84,257
84,257
36,102
5,66
971,415
133,94
1183,2839
1183,2839
2549,1100
665,263
2726,719
1011,536
1013,550
129,78
30,244
5698,670
176,941
333,151
612,535
713,309
713,309
713,309
508,757
71,67
1789,618
508,757
243,400
254,225
227,231
1362,1391
4888,3375
193,1034
8203,1482
827,1709
110,141
5250,849
1105,487
56,111
834,1659
144,470
2410,309
2655,989
86,147
51,49
1075,1178
103360,103
10175,1967
91,147
2659,1032
3420,379
2978,1023
8835,9660
424,289
20258,444
20258,444
1048,908
17831,1652
296,357
643,1071
280,354
429,451
451,1869
291,250
123,167
566,225
197,186
3958,1432
197,513
1113,2075
228,567
10177,1967
893,808
113,179
131,135
66,65
2382,2179
196,587
4657,2392
1309,1729
217,769
70,52
1771,1088
1190,359
352,420
2078,724
367,573
250,1601
220,874
8861,5544
8861,5544
10177,1967
54,295
2081,511
9222,2879
370,211
957,146
447,276
4588,2821
5130,1944
790,349
906,494
281,235
517,2165
217,468
80,67
5781,345
43,78
508,757
12,21
4147,282
3687,5001
640,1468
1280,2273
1361,467
184,354
184,354
10063,1141
5,17
1687,738
22,334
931,155
29,112
969,1068
917,1096
260,519
1145,1024
1851,1347
119,193
5296,1253
924,779
924,779
1011,536
20043,440
318,291
2219,733
1383,1264
3335,1192
1224,3054
3614,3305
426,3387
200,193
46102,24580
1268,1118
16961,1330
183,680
17072,5420
2681,1679
3649,627
954,691
2345,1830
2,20
495,765
5730,698
88,224
655,747
2156,1424
88,250
145,133
249,973
2156,1424
42555,10410
99,520
2156,1424
2156,1424
218,524
11673,1381
7764,1310
46102,24580
620,133
99,125
909,458
4580,850
21233,3393
21233,3393
263,570
5490,2533
7896,1753
7896,1753
2557,361
288,684
6203,4506
18313,689
5259,681
4835,4477
1607,619
97,420
7713,7184
1363,1303
20493,4185
20493,4185
809,687
951,1923
79,67
948,426
7177,6343
145,184
145,184
228,373
55,341
14,47
6287,2409
52,190
14,39
8680,608
10756,7758
2464,2952
41133,1340
1914,4689
57,525
8481,1914
15739,1477
69,484
23765,988
69,484
33052,1306
1281,835
13839,7126
33052,1306
34083,4034
34083,4034
353,321
309,287
58063,208
1061,367
483,726
208,1143
16962,1330
693,1569
449,1249
691,616
230,884
277,561
53,47
72919,9553
449,363
89,207
526,1005
3551,1719
1491,1718
8679,608
2445,3041
438,456
80,129
16,162
1491,1718
5321,1202
1238,629
22,76
293,296
20493,4185
20493,4185
4895,4465
3063,2753
13746,2316
4081,3861
863,1143
29,18
2894,3983
5969,642
9119,1423
107,106
89,207
386,304
361,515
3814,2610
28789,18645
2476,4973
33,47
386,1400
16985,3446
3014,1237
47,135
51,95
51,95
3894,725
768,434
1155,689
305,625
1155,689
145,320
268,91
23,94
212,2751
43,78
280,354
94,72
54,295
216,209
216,209
341,1017
149,230
137,205
243,362
1504,1590
140661,3401
1665,752
6359,287
68,337
135,287
820,253
11098,653
248,44
35959,2325
1963,1541
87,393
4827,4320
129,645
216,209
1964,979
4045,1291
6165,346
6165,346
2204,2750
514,442
52,413
911,1247
575,363
376,254
1769,896
9288,2415
26960,2592
26960,2592
9417,1127
4315,2853
12487,2205
18,79
457,325
27936,3499
809,687
473,2614
1681,1319
727,449
291,262
17433,558
502,804
319,808
2654,988
336,613
1924,3033
166,212
1056,709
19695,2172
16690,1968
26,89
1160,84
2654,988
3557,871
2390,1358
2862,1338
257,382
5065,317
1303,1154
66,219
493,77
823,1136
457,325
1461,1110
1642,1058
235,968
5,66
12189,668
12189,668
52,14
11,221
189,399
4598,1254
1977,778
185,762
35,101
1926,998
7727,1098
106,379
947,2473
389900,8161
8201,1482
71898,61
17,114
11,55
158,55
376,835
32,167
119,267
532,355
228,412
145,384
80,367
172,1016
2169,1436
979,883
2641,2924
304,492
754,326
777,1000
326,436
79,334
16,145
698,1083
1440,2629
145,601
2169,1436
3557,871
1461,1412
116805,99786
725,639
144,703
266,876
161,253
1388,577
119,118
19836,971
1591,414
208,425
1430,248
292,599
4,74
201,719
129,290
1366,357
201,719
32053,587
1621,366
26960,2591
1192,1196
795,2140
44963,496
2010,2567
634,764
634,764
652,490
2356,2470
278,169
99,520
846,361
411,1909
94,571
429,251
1960,1799
3225,1969
3225,1969
1387,1077
82,252
4315,2853
1893,3815
362,515
10158,4830
241,298
147,199
1423,1514
2099,895
2101,2905
59,363
2514,1745
280,354
62911,1452
711,309
542,331
4620,683
34,57
711,309
711,309
1995,349
83,252
3420,379
1932,908
586,1615
2095,1519
586,1615
5551,370
119,267
900,581
127,44
51,221
608,1982
586,1615
502,299
2568,1066
1212,858
1328,814
2826,1620
36,115
68,91
362,515
408,242
179,327
179,327
2,18
521,1547
976,121
1168,683
1218106,1092
196,2868
2576,852
115088,1512
518,792
170,362
496,2494
59,222
27,186
2844,825
156,418
285,493
12186,668
13402,6641
200,270
4,25
5134,1729
5134,1729
1516,871
4444,486
2148,624
1327,2400
883,377
84,211
35,88
65,60
136,112
65,60
8927,2765
10194,130
2608,1283
3942,1201
3392,934
358,76
34080,4034
134,57
1141,454
426,1156
161,452
459,2040
47,71
1388,1120
2234,2061
170,175
150,339
2302,584
1297,2888
748,551
444,4660
7497,734
374,948
218,210
3063,2753
301,643
33596,10915
3914,2160
7550,1324
649,1655
47190,2907
98,613
361,1317
361,1317
4076,2199
1136,557
1141,2116
54,179
1931,919
42,29
886,2370
536,981
746,2258
122316,1469
253,277
2,18
293,442
2828,1325
966,2864
1893,3815
1893,3815
35,286
122316,1469
162,388
4315,2853
958,419
1805,1865
98,611
54,119
777,1000
8198,1482
480,427
281,328
6414,1097
179357,252
571,984
112,332
723,600
93,225
122315,1469
2169,1436
525,325
349,227
22819,3403
28786,18644
958,674
295,800
1200,1075
122315,1469
2485,529
93,143
726,899
4314,2853
1893,3815
190990,1617
3890,702
28786,18644
497,1851
8652,2092
170,362
113,245
2418,1945
21,40
716,1317
716,1317
65,60
65,60
5321,1202
190990,1617
47,59
4314,2853
5321,1202
179,327
716,1317
716,1317
716,1317
716,1317
21,40
716,1317
21,40
21,40
90,401
123,634
216,349
170,362
170,362
170,362
65,60
3063,2751
164,135
1755,708
150,339
1755,708
150,339
2092,3429
335,482
176,1058
453,1699
1302,1070
841,651
2160,608
1302,1070
1336,953
402,1432
46679,604
3354,1670
549,293
4175,790
12815,2800
1302,1070
4443,485
8333,2099
46,90
4075,2199
1278,607
27416,818
1048,1300
214,261
8628,1018
1898,795
1055,387
1532,462
1860,3259
12182,668
3109,366
262,470
1565,888
449,1249
511,779
2061,406
1207,213
4899,1677
11713,5426
307,1291
449,1249
1488,376
281,665
1446,412
613,650
1073,163
744,322
28786,18644
2567,1066
16685,1967
966,192
16685,1967
1054,1492
1565,410
1361,357
2655,988
1636,694
3814,2609
3814,2609
1344,4318
1892,3815
4314,2853
377,381
416,372
196,280
27,26
1271,376
9,32
938,678
911,932
71893,61
1464,1147
4315,2852
1343,4315
905,494
45,251
5228,3007
8705,3527
2091,3428
4075,2199
62,111
1085,818
31,89
67,442
2674,910
107,78
17,28
122316,1469
188,37
15098,2005
122316,1469
1892,3815
1892,3815
4315,2852
4315,2852
15098,2005
26,151
1892,3815
79,975
4315,2852
122316,1469
122316,1469
2124,2403
781,593
16982,3446
777,1000
1898,795
1898,795
1603,1344
5111,3564
777,1000
4075,2199
21,78
4082,1192
295,278
1464,1147
17,28
446,190
313,1018
1478,729
122316,1469
4443,2731
914,296
967,1068
145,382
295,278
145,382
145,382
2091,3428
21,40
781,593
21,40
21,40
21,40
21,40
4069,681
122316,1469
17,28
1572,1004
5801,589
849,1400
2169,1436
1115,232
4914,681
4449,3564
83,455
1464,1147
122316,1469
1892,3815
1892,3815
194,1304
4175,789
265,923
21,46
